39 18060 63551
0 0     1.597070e+03 4.733700e+02
25 10     -3.037500e+02 -3.416799e+02
26 10     6.238800e+02 1.862600e+02
28 10     -4.983100e+02 -2.664600e+02
31 10     -5.881500e+02 2.241699e+02
32 10     8.793601e+02 7.834998e+01
0 11     5.469700e+02 1.750500e+02
1 11     -9.454200e+02 1.703301e+02
2 11     -2.931600e+02 8.088000e+01
3 11     -9.249200e+02 2.976899e+02
4 11     8.822500e+02 3.130601e+02
5 11     4.425900e+02 6.886899e+02
6 11     -5.436100e+02 1.095600e+02
9 11     -3.272700e+02 1.999399e+02
10 11     -2.472900e+02 -3.961899e+02
11 11     3.227900e+02 1.382900e+02
12 11     -8.730500e+02 -5.100800e+02
23 11     -9.640997e+01 -2.463100e+02
24 11     -3.171500e+02 -4.028998e+01
25 11     -1.106470e+03 -3.238601e+02
33 11     -7.958800e+02 2.942600e+02
35 11     9.953800e+02 1.798700e+02
0 12     1.593740e+03 1.776899e+02
1 12     1.026040e+03 1.078000e+02
6 12     8.774900e+02 3.527002e+01
8 12     8.571500e+02 2.119500e+02
12 12     -2.091899e+02 -5.231801e+02
17 12     -9.200000e+02 4.222600e+02
26 12     5.513000e+02 1.841300e+02
28 12     -5.547700e+02 -2.651500e+02
0 13     1.491960e+03 2.510400e+02
1 13     7.526599e+02 2.192000e+02
2 13     6.170100e+02 1.575600e+02
6 13     7.050100e+02 1.142800e+02
12 13     -2.832900e+02 -4.596200e+02
16 13     9.259500e+02 3.933000e+02
17 13     -1.182130e+03 5.723101e+02
25 13     -4.967000e+02 -2.771400e+02
26 13     4.734200e+02 2.482500e+02
27 13     -1.070580e+03 3.479900e+02
28 13     -6.800100e+02 -2.031000e+02
29 13     -9.354800e+02 1.365100e+02
32 13     7.036801e+02 1.402200e+02
38 13     3.755400e+02 3.050600e+02
0 14     1.592220e+03 4.869000e+02
1 14     7.154099e+02 5.452200e+02
3 14     6.106200e+02 6.356200e+02
6 14     7.436500e+02 3.359800e+02
16 14     9.815601e+02 5.467300e+02
0 15     1.592220e+03 4.869000e+02
1 15     7.154099e+02 5.452200e+02
2 15     5.727600e+02 4.472300e+02
3 15     6.106200e+02 6.356200e+02
6 15     7.436500e+02 3.359800e+02
7 15     8.869099e+02 5.749100e+02
12 15     -2.558300e+02 -2.634700e+02
16 15     9.815601e+02 5.467300e+02
17 15     -1.291750e+03 1.028630e+03
25 15     -5.679400e+02 -7.410999e+01
26 15     5.394700e+02 4.467800e+02
0 16     4.639700e+02 4.582200e+02
1 16     -1.101980e+03 7.911500e+02
2 16     -3.668400e+02 4.246500e+02
4 16     8.366201e+02 4.717300e+02
5 16     3.506200e+02 8.901300e+02
7 16     1.870300e+02 5.317600e+02
8 16     -8.678000e+02 6.906100e+02
9 16     -3.886100e+02 4.586000e+02
11 16     2.659600e+02 3.888400e+02
18 16     -5.132600e+02 1.684199e+02
20 16     -4.352900e+02 -5.140002e+01
21 16     -8.812000e+01 3.355200e+02
32 16     -1.019000e+02 3.669000e+02
33 16     -8.531100e+02 5.573600e+02
0 17     1.101110e+03 2.966200e+02
1 17     -2.068900e+02 2.133700e+02
4 17     1.288590e+03 4.486500e+02
5 17     9.537900e+02 9.055699e+02
6 17     1.500800e+02 9.869000e+01
8 17     2.477300e+02 3.635701e+02
13 17     -1.198570e+03 1.023260e+03
16 17     6.780300e+02 4.588800e+02
22 17     -2.364700e+02 3.273700e+02
26 17     1.225699e+02 3.231700e+02
33 17     -5.250500e+02 3.850500e+02
0 18     1.101110e+03 2.966200e+02
1 18     -2.068900e+02 2.133700e+02
4 18     1.288590e+03 4.486500e+02
5 18     9.537900e+02 9.055699e+02
8 18     2.477300e+02 3.635701e+02
11 18     4.317700e+02 3.745000e+02
16 18     6.780300e+02 4.588800e+02
22 18     -2.364700e+02 3.273700e+02
26 18     1.225699e+02 3.231700e+02
33 18     -5.250500e+02 3.850500e+02
0 19     1.123840e+03 1.728600e+02
1 19     -1.642900e+02 1.791998e+01
4 19     1.298780e+03 3.626500e+02
8 19     2.761200e+02 1.820400e+02
0 20     1.155680e+03 1.497200e+02
1 20     -1.165500e+02 -2.256000e+01
4 20     1.320770e+03 3.470400e+02
6 20     2.032300e+02 -6.292999e+01
8 20     3.213700e+02 1.464800e+02
9 20     -1.158199e+02 2.854399e+02
10 20     -6.878003e+01 -3.699500e+02
12 20     -6.329000e+02 -4.476700e+02
13 20     -1.005330e+03 5.326000e+02
16 20     7.129200e+02 3.672800e+02
26 20     1.683800e+02 1.919300e+02
31 20     -1.117670e+03 2.642000e+02
0 21     1.132120e+03 1.686699e+02
1 21     -1.522500e+02 1.078998e+01
4 21     1.304230e+03 3.595601e+02
5 21     9.861699e+02 7.976100e+02
6 21     1.788500e+02 -3.932001e+01
8 21     2.880000e+02 1.758600e+02
12 21     -6.514300e+02 -4.312900e+02
21 21     3.609985e+00 7.783500e+02
31 21     -1.135830e+03 2.800801e+02
0 22     1.100680e+03 3.059299e+02
1 22     -2.072500e+02 2.277100e+02
4 22     1.288470e+03 4.546799e+02
5 22     9.523201e+02 9.141400e+02
6 22     1.502600e+02 1.086800e+02
8 22     2.474200e+02 3.771200e+02
9 22     -1.841600e+02 4.569900e+02
11 22     4.315699e+02 3.844800e+02
13 22     -1.198440e+03 1.052400e+03
16 22     6.781899e+02 4.642400e+02
20 22     -3.165601e+02 -6.017004e+01
21 22     -8.023999e+01 7.610100e+02
31 22     -1.168270e+03 3.937100e+02
33 22     -5.251300e+02 3.924399e+02
0 23     1.648780e+03 4.902300e+02
1 23     7.979600e+02 5.447600e+02
2 23     6.276899e+02 4.471600e+02
3 23     6.911000e+02 6.331300e+02
12 23     -2.213700e+02 -2.647200e+02
17 23     -1.205760e+03 1.023610e+03
24 23     9.075000e+01 1.151900e+02
0 24     8.543899e+02 1.603201e+02
1 24     -4.321000e+02 7.002002e+01
4 24     1.076260e+03 3.208800e+02
5 24     6.989200e+02 7.272100e+02
6 24     -1.120900e+02 1.969000e+01
7 24     3.940300e+02 3.367600e+02
9 24     -1.819500e+02 2.254500e+02
10 24     -1.341200e+02 -3.920699e+02
12 24     -7.326100e+02 -4.937100e+02
13 24     -1.286680e+03 4.718900e+02
20 24     -3.239000e+02 -1.789399e+02
22 24     -3.849300e+02 2.140701e+02
23 24     -4.491998e+01 -2.376100e+02
33 24     -6.055200e+02 2.709399e+02
38 24     -5.472900e+02 2.200400e+02
0 25     8.192100e+02 1.816300e+02
1 25     -4.825900e+02 1.157000e+02
3 25     -5.284800e+02 2.201400e+02
4 25     1.053400e+03 3.323800e+02
5 25     6.661500e+02 7.382700e+02
6 25     -1.543400e+02 5.332001e+01
7 25     3.762600e+02 3.514299e+02
22 25     -4.053800e+02 2.238800e+02
33 25     -6.246600e+02 2.911500e+02
38 25     -5.732500e+02 2.613000e+02
0 26     7.863999e+02 1.025000e+01
1 26     -5.346900e+02 -2.022700e+02
6 26     -2.103800e+02 -1.644900e+02
7 26     3.605601e+02 2.231500e+02
10 26     -1.549700e+02 -4.925400e+02
11 26     4.297500e+02 1.859003e+01
13 26     -1.390040e+03 2.197998e+01
18 26     -4.029000e+02 -7.043005e+01
0 27     8.000100e+02 2.193005e+01
1 27     -5.120200e+02 -1.878300e+02
4 27     1.037970e+03 2.364399e+02
0 28     8.144399e+02 1.230100e+02
1 28     -4.883700e+02 8.150024e+00
4 28     1.048430e+03 2.964500e+02
5 28     6.656700e+02 6.912400e+02
6 28     -1.681300e+02 -1.741998e+01
7 28     3.761500e+02 3.050601e+02
9 28     -1.930100e+02 1.831500e+02
11 28     4.445000e+02 1.207800e+02
13 28     -1.327880e+03 3.504299e+02
18 28     -3.916000e+02 -4.540039e+00
22 28     -4.073100e+02 1.892500e+02
33 28     -6.264900e+02 2.387300e+02
0 29     8.776599e+02 1.648700e+02
1 29     -4.024100e+02 6.665991e+01
3 29     -4.680600e+02 1.684900e+02
4 29     1.093540e+03 3.277300e+02
5 29     7.195601e+02 7.368900e+02
7 29     4.030300e+02 3.377200e+02
8 29     -1.540300e+02 1.922800e+02
22 29     -3.719600e+02 2.180200e+02
33 29     -5.947400e+02 2.713500e+02
38 29     -5.303700e+02 2.196000e+02
0 30     6.947900e+02 2.345200e+02
1 30     -6.731200e+02 2.531799e+02
2 30     -2.115000e+02 1.622600e+02
3 30     -6.870000e+02 3.740601e+02
4 30     9.726399e+02 3.549199e+02
5 30     5.563101e+02 7.570900e+02
6 30     -3.178400e+02 1.563700e+02
7 30     3.134500e+02 3.799700e+02
9 30     -2.556100e+02 2.713900e+02
12 30     -8.036600e+02 -4.554000e+02
13 30     -1.536950e+03 6.698201e+02
18 30     -4.296400e+02 5.195996e+01
22 30     -4.748700e+02 2.483700e+02
23 30     -7.019000e+01 -2.196500e+02
33 30     -6.977100e+02 3.415100e+02
0 31     6.947900e+02 2.345200e+02
1 31     -6.731200e+02 2.531799e+02
2 31     -2.115000e+02 1.622600e+02
3 31     -6.870000e+02 3.740601e+02
4 31     9.726399e+02 3.549199e+02
5 31     5.563101e+02 7.570900e+02
6 31     -3.178400e+02 1.563700e+02
7 31     3.134500e+02 3.799700e+02
9 31     -2.556100e+02 2.713900e+02
12 31     -8.036600e+02 -4.554000e+02
13 31     -1.536950e+03 6.698201e+02
18 31     -4.296400e+02 5.195996e+01
22 31     -4.748700e+02 2.483700e+02
33 31     -6.977100e+02 3.415100e+02
0 32     8.340400e+02 1.051000e+02
1 32     -4.649301e+02 -2.944995e+01
4 32     1.062990e+03 2.874099e+02
5 32     6.873600e+02 6.812800e+02
6 32     -1.402400e+02 -4.740997e+01
7 32     3.818500e+02 2.944500e+02
10 32     -1.425000e+02 -4.279200e+02
11 32     4.408500e+02 1.093700e+02
12 32     -7.458200e+02 -5.360500e+02
13 32     -1.332630e+03 3.088101e+02
20 32     -3.326801e+02 -2.076400e+02
22 32     -3.963400e+02 1.805100e+02
23 32     -5.012000e+01 -2.577500e+02
33 32     -6.202700e+02 2.244000e+02
0 33     7.704800e+02 1.192700e+02
1 33     -5.543200e+02 1.084003e+01
2 33     -1.657600e+02 2.953998e+01
3 33     -5.802800e+02 1.126100e+02
6 33     -2.230500e+02 -1.519000e+01
7 33     3.536801e+02 3.004000e+02
9 33     -2.148600e+02 1.738600e+02
10 33     -1.596300e+02 -4.226700e+02
11 33     4.246700e+02 1.125300e+02
12 33     -7.679500e+02 -5.324100e+02
18 33     -4.056600e+02 -9.589966e+00
20 33     -3.431100e+02 -2.061200e+02
33 33     -6.523600e+02 2.375200e+02
38 33     -6.146600e+02 1.807900e+02
0 34     8.994900e+02 1.088500e+02
1 34     -3.694000e+02 -3.418005e+01
2 34     -1.162700e+02 2.721002e+01
3 34     -4.443400e+02 5.996002e+01
4 34     1.103020e+03 2.924500e+02
5 34     7.441000e+02 6.948500e+02
8 34     -1.195700e+02 1.023000e+02
9 34     -1.617400e+02 1.814399e+02
11 34     4.694100e+02 1.196400e+02
12 34     -7.153900e+02 -5.273900e+02
13 34     -1.215740e+03 3.218201e+02
18 34     -3.699000e+02 -5.349976e+00
20 34     -3.134600e+02 -2.022300e+02
22 34     -3.595100e+02 1.857900e+02
23 34     -3.863000e+01 -2.539600e+02
31 34     -1.171470e+03 2.012800e+02
0 35     8.749800e+02 1.114800e+02
1 35     -4.068500e+02 -2.476001e+01
4 35     1.089140e+03 2.936699e+02
0 36     8.857700e+02 2.163600e+02
1 36     -3.929900e+02 1.674500e+02
3 36     -4.683100e+02 2.702400e+02
4 36     1.101020e+03 3.579600e+02
5 36     7.235900e+02 7.774200e+02
7 36     4.060300e+02 3.816200e+02
8 36     -1.373200e+02 2.686600e+02
13 36     -1.256930e+03 6.553300e+02
18 36     -3.781899e+02 5.880005e+01
20 36     -3.199500e+02 -1.469600e+02
22 36     -3.676900e+02 2.487300e+02
31 36     -1.183440e+03 2.846899e+02
33 36     -5.909600e+02 3.200000e+02
38 36     -5.286700e+02 2.955100e+02
0 37     6.603501e+02 2.414199e+02
1 37     -7.323900e+02 2.776699e+02
2 37     -2.242600e+02 1.664500e+02
3 37     -7.361300e+02 4.021899e+02
4 37     9.512900e+02 3.565000e+02
5 37     5.259500e+02 7.557000e+02
6 37     -3.669800e+02 1.748500e+02
7 37     2.969600e+02 3.829000e+02
9 37     -2.697800e+02 2.731400e+02
10 37     -2.013600e+02 -3.487200e+02
11 37     3.765200e+02 2.089400e+02
12 37     -8.169700e+02 -4.535400e+02
13 37     -1.588930e+03 6.843600e+02
18 37     -4.398300e+02 5.348999e+01
20 37     -3.725000e+02 -1.522900e+02
22 37     -4.931000e+02 2.506500e+02
33 37     -7.176900e+02 3.486200e+02
0 38     9.779700e+02 2.196300e+02
1 38     -2.785601e+02 1.395701e+02
4 38     1.171040e+03 3.711799e+02
5 38     8.113000e+02 8.017100e+02
8 38     2.173999e+01 2.685601e+02
16 38     6.283900e+02 3.902800e+02
22 38     -3.129100e+02 2.580801e+02
26 38     4.925000e+01 2.456100e+02
0 39     7.493201e+02 2.550200e+02
1 39     -5.843200e+02 2.799099e+02
2 39     -1.818400e+02 1.891600e+02
4 39     1.008850e+03 3.699800e+02
5 39     5.989301e+02 7.821799e+02
6 39     -2.398100e+02 1.722100e+02
7 39     3.414600e+02 3.973201e+02
10 39     -1.700300e+02 -3.356899e+02
11 39     4.111801e+02 2.303200e+02
12 39     -7.781800e+02 -4.363300e+02
13 39     -1.445900e+03 7.363300e+02
20 39     -3.489800e+02 -1.408300e+02
24 39     -2.671400e+02 6.140015e+00
0 40     1.150200e+03 2.032200e+02
1 40     -1.250300e+02 6.676001e+01
3 40     -3.188700e+02 1.427800e+02
6 40     1.992500e+02 -1.830017e+00
8 40     3.152700e+02 2.281800e+02
9 40     -1.255900e+02 3.388000e+02
11 40     4.915800e+02 2.742500e+02
13 40     -1.024780e+03 7.059600e+02
23 40     -2.801001e+01 -1.932800e+02
38 40     -4.226900e+02 1.981500e+02
0 41     6.405300e+02 7.218005e+01
1 41     -7.736200e+02 -6.221997e+01
2 41     -2.327600e+02 -3.556000e+01
4 41     9.372000e+02 2.586000e+02
5 41     5.267800e+02 6.256100e+02
6 41     -4.066300e+02 -5.610999e+01
7 41     2.869100e+02 2.596799e+02
10 41     -2.077500e+02 -4.594100e+02
11 41     3.703400e+02 5.715997e+01
13 41     -1.626730e+03 1.816100e+02
18 41     -4.456000e+02 -4.480005e+01
22 41     -5.023700e+02 1.522700e+02
23 41     -7.807001e+01 -2.784400e+02
33 41     -7.350200e+02 1.996000e+02
0 42     8.861201e+02 1.204301e+02
1 42     -3.926700e+02 -1.096997e+01
3 42     -4.647000e+02 8.834003e+01
4 42     1.099270e+03 3.010701e+02
5 42     7.327100e+02 7.028400e+02
7 42     4.068400e+02 3.084000e+02
8 42     -1.381800e+02 1.214800e+02
9 42     -1.752500e+02 1.917000e+02
11 42     4.577700e+02 1.292100e+02
13 42     -1.257030e+03 3.594600e+02
18 42     -3.785500e+02 1.170044e+00
22 42     -3.667600e+02 1.922800e+02
31 42     -1.182280e+03 2.103000e+02
0 43     9.020701e+02 1.580200e+02
1 43     -3.673199e+02 5.518994e+01
2 43     -1.183600e+02 8.783997e+01
3 43     -4.420500e+02 1.525200e+02
4 43     1.110160e+03 3.236799e+02
5 43     7.428700e+02 7.345000e+02
6 43     -5.489001e+01 7.169983e+00
7 43     4.163101e+02 3.377900e+02
8 43     -1.122300e+02 1.785800e+02
9 43     -1.656000e+02 2.297400e+02
10 43     -1.187300e+02 -3.892200e+02
12 43     -7.137100e+02 -4.895800e+02
13 43     -1.221680e+03 4.764800e+02
18 43     -3.713700e+02 2.468005e+01
20 43     -3.139100e+02 -1.761801e+02
22 43     -3.578100e+02 2.149800e+02
26 43     -4.950012e+00 1.916300e+02
31 43     -1.173860e+03 2.401699e+02
33 43     -5.803200e+02 2.682000e+02
38 43     -5.112500e+02 2.059600e+02
0 44     8.336499e+02 1.729000e+02
1 44     -4.646100e+02 9.726001e+01
3 44     -5.165500e+02 2.002200e+02
4 44     1.063120e+03 3.278401e+02
5 44     6.798800e+02 7.338500e+02
6 44     -1.393800e+02 4.070001e+01
7 44     3.820800e+02 3.438000e+02
9 44     -1.949399e+02 2.334900e+02
10 44     -1.432000e+02 -3.846400e+02
11 44     4.439700e+02 1.716600e+02
12 44     -7.443500e+02 -4.872100e+02
13 44     -1.325980e+03 5.080100e+02
20 44     -3.308900e+02 -1.743900e+02
22 44     -3.974000e+02 2.195601e+02
33 44     -6.185600e+02 2.827800e+02
38 44     -5.653400e+02 2.452700e+02
0 45     8.383101e+02 1.950801e+02
1 45     -4.546100e+02 1.392500e+02
4 45     1.066810e+03 3.410601e+02
5 45     6.816899e+02 7.519399e+02
7 45     3.851600e+02 3.601300e+02
10 45     -1.402200e+02 -3.693400e+02
12 45     -7.407400e+02 -4.701400e+02
13 45     -1.313570e+03 5.749600e+02
18 45     -3.888101e+02 4.043994e+01
20 45     -3.291000e+02 -1.623900e+02
22 45     -3.946400e+02 2.327700e+02
0 46     6.570901e+02 2.727100e+02
1 46     -7.395900e+02 3.431000e+02
2 46     -2.275400e+02 2.022600e+02
4 46     9.498999e+02 3.743900e+02
5 46     5.202100e+02 7.795701e+02
7 46     2.952900e+02 4.041000e+02
9 46     -2.717100e+02 3.003500e+02
10 46     -2.037500e+02 -3.291801e+02
11 46     3.741700e+02 2.343900e+02
12 46     -8.176100e+02 -4.325500e+02
13 46     -1.593540e+03 7.737000e+02
18 46     -4.412100e+02 6.935999e+01
20 46     -3.732300e+02 -1.381400e+02
23 46     -7.634003e+01 -2.089500e+02
24 46     -2.877100e+02 1.182001e+01
33 46     -7.198700e+02 3.768500e+02
0 47     6.193999e+02 1.648101e+02
1 47     -8.088700e+02 1.322600e+02
2 47     -2.512200e+02 7.306000e+01
3 47     -8.017800e+02 2.515300e+02
4 47     9.253899e+02 3.102100e+02
5 47     5.014500e+02 6.919500e+02
6 47     -4.310400e+02 7.935999e+01
7 47     2.747700e+02 3.249900e+02
9 47     -2.908900e+02 1.973800e+02
10 47     -2.189100e+02 -4.003900e+02
13 47     -1.670880e+03 4.531599e+02
18 47     -4.547600e+02 6.310059e+00
20 47     -3.852000e+02 -1.926100e+02
21 47     5.803003e+01 4.205100e+02
22 47     -5.145800e+02 2.042100e+02
33 47     -7.479100e+02 2.819500e+02
0 48     8.908899e+02 1.604000e+02
1 48     -3.858400e+02 6.139001e+01
3 48     -4.595400e+02 1.594000e+02
4 48     1.103150e+03 3.248500e+02
5 48     7.327600e+02 7.344700e+02
6 48     -6.759998e+01 1.295001e+01
8 48     -1.310300e+02 1.831600e+02
22 48     -3.647500e+02 2.162100e+02
33 48     -5.884900e+02 2.709700e+02
38 48     -5.235100e+02 2.132900e+02
0 49     1.694560e+03 3.280200e+02
1 49     1.198720e+03 3.744500e+02
10 49     4.001399e+02 -3.166100e+02
12 49     -1.513400e+02 -4.355000e+02
17 49     -7.746400e+02 6.413000e+02
25 49     -3.042100e+02 -2.441700e+02
0 50     7.553101e+02 8.714001e+01
1 50     -5.787600e+02 -5.009998e+01
3 50     -6.010700e+02 5.107001e+01
4 50     1.009450e+03 2.721899e+02
5 50     6.195800e+02 6.542100e+02
6 50     -2.451300e+02 -5.490002e+01
22 50     -4.397500e+02 1.654900e+02
33 50     -6.625900e+02 2.093900e+02
0 51     8.976399e+02 1.822200e+02
1 51     -3.738101e+02 1.011000e+02
4 51     1.108220e+03 3.377600e+02
5 51     7.368700e+02 7.540300e+02
8 51     -1.192700e+02 2.165600e+02
22 51     -3.605400e+02 2.299900e+02
26 51     -7.520020e+00 2.120000e+02
0 52     7.607600e+02 2.182800e+02
1 52     -5.671200e+02 2.064500e+02
2 52     -1.736300e+02 1.460900e+02
5 52     6.115200e+02 7.564399e+02
6 52     -2.288800e+02 1.198600e+02
9 52     -2.223500e+02 2.636200e+02
10 52     -1.651200e+02 -3.585601e+02
11 52     4.179000e+02 1.994900e+02
12 52     -7.723900e+02 -4.619900e+02
22 52     -4.377800e+02 2.421400e+02
33 52     -6.565600e+02 3.245100e+02
0 53     1.100680e+03 3.059299e+02
1 53     -2.072500e+02 2.277100e+02
4 53     1.288470e+03 4.546799e+02
5 53     9.523201e+02 9.141400e+02
6 53     1.502600e+02 1.086800e+02
8 53     2.474200e+02 3.771200e+02
11 53     4.315699e+02 3.844800e+02
16 53     6.781899e+02 4.642400e+02
20 53     -3.165100e+02 -5.515002e+01
33 53     -5.251300e+02 3.924399e+02
0 54     1.581920e+03 2.001300e+02
1 54     1.003270e+03 1.482200e+02
2 54     7.658400e+02 8.763000e+01
3 54     1.064730e+03 2.566500e+02
5 54     1.195610e+03 8.228101e+02
6 54     8.623300e+02 6.559003e+01
7 54     9.131101e+02 3.379700e+02
8 54     8.408199e+02 2.462500e+02
16 54     9.733600e+02 3.580000e+02
17 54     -9.391000e+02 4.591699e+02
25 54     -3.790900e+02 -3.273201e+02
26 54     5.430800e+02 2.019800e+02
27 54     -9.407100e+02 2.902900e+02
28 54     -5.616100e+02 -2.513600e+02
29 54     -7.412500e+02 6.602002e+01
38 54     5.972800e+02 2.511400e+02
0 55     1.585690e+03 4.793600e+02
1 55     7.066899e+02 5.331799e+02
2 55     5.652900e+02 4.401400e+02
3 55     6.015900e+02 6.236500e+02
12 55     -2.598101e+02 -2.689600e+02
16 55     9.780699e+02 5.430000e+02
25 55     -5.724900e+02 -7.956995e+01
26 55     5.337900e+02 4.414399e+02
28 55     -7.912300e+02 -2.587000e+01
32 55     7.259200e+02 3.207900e+02
0 56     1.597070e+03 4.733700e+02
1 56     7.217000e+02 5.229800e+02
2 56     5.779100e+02 4.318900e+02
3 56     6.169000e+02 6.129000e+02
7 56     8.902600e+02 5.648201e+02
12 56     -2.527600e+02 -2.743400e+02
17 56     -1.284400e+03 1.003560e+03
24 56     6.928003e+01 1.086400e+02
25 56     -5.645800e+02 -8.539001e+01
26 56     5.426500e+02 4.355500e+02
28 56     -7.860400e+02 -3.128003e+01
32 56     7.326600e+02 3.154299e+02
0 57     6.042900e+02 3.663401e+02
1 57     -8.261500e+02 5.504000e+02
3 57     -8.205800e+02 6.993000e+02
4 57     9.183601e+02 4.254900e+02
5 57     4.680300e+02 8.426200e+02
7 57     2.689700e+02 4.704099e+02
8 57     -6.280100e+02 5.317100e+02
9 57     -2.981600e+02 3.829800e+02
10 57     -2.232700e+02 -2.706000e+02
11 57     3.503400e+02 3.117700e+02
12 57     -8.405300e+02 -3.658900e+02
18 57     -4.566200e+02 1.205400e+02
33 57     -7.496700e+02 4.619900e+02
0 58     4.523601e+02 4.540100e+02
